check,passed
8104/broad-stop/separate_refit_charge,True
8104/broad-stop/final_row_ids,True
8104/broad-stop/final_targets,True
8104/broad-stop/finite_predictions,True
8104/broad-stop/final_metric,True
8104/broad-stop/normalized_loss,True
8104/broad-stop/separate_utility,True
8104/broad/same_public_data,True
8104/broad/final_absent_from_rollout,True
8104/broad/disjoint_rows,True
8104/broad/fixed_sizes,True
8104/broad/tree_identity,True
8104/broad/selected_by_selection,True
8104/broad/candidate_identity,True
8104/broad/actual_attempts,True
8104/broad/charged_time,True
8104/broad/actual_failures,True
8104/broad/online_checks,True
8104/broad/refit_succeeded,True
8104/broad/separate_refit_charge,True
8104/broad/final_row_ids,True
8104/broad/final_targets,True
8104/broad/finite_predictions,True
8104/broad/final_metric,True
8104/broad/normalized_loss,True
8104/broad/separate_utility,True
8104/greedy/same_public_data,True
8104/greedy/final_absent_from_rollout,True
8104/greedy/disjoint_rows,True
8104/greedy/fixed_sizes,True
8104/greedy/tree_identity,True
8104/greedy/selected_by_selection,True
8104/greedy/candidate_identity,True
8104/greedy/actual_attempts,True
8104/greedy/charged_time,True
8104/greedy/actual_failures,True
8104/greedy/online_checks,True
8104/greedy/refit_succeeded,True
8104/greedy/separate_refit_charge,True
8104/greedy/final_row_ids,True
8104/greedy/final_targets,True
8104/greedy/finite_predictions,True
8104/greedy/final_metric,True
8104/greedy/normalized_loss,True
8104/greedy/separate_utility,True
8104/lineage/same_public_data,True
8104/lineage/final_absent_from_rollout,True
8104/lineage/disjoint_rows,True
8104/lineage/fixed_sizes,True
8104/lineage/tree_identity,True
8104/lineage/selected_by_selection,True
8104/lineage/candidate_identity,True
8104/lineage/actual_attempts,True
8104/lineage/charged_time,True
8104/lineage/actual_failures,True
8104/lineage/online_checks,True
8104/lineage/refit_succeeded,True
8104/lineage/separate_refit_charge,True
8104/lineage/final_row_ids,True
8104/lineage/final_targets,True
8104/lineage/finite_predictions,True
8104/lineage/final_metric,True
8104/lineage/normalized_loss,True
8104/lineage/separate_utility,True
8123/broad-stop/same_public_data,True
8123/broad-stop/final_absent_from_rollout,True
8123/broad-stop/disjoint_rows,True
8123/broad-stop/fixed_sizes,True
8123/broad-stop/tree_identity,True
8123/broad-stop/selected_by_selection,True
8123/broad-stop/candidate_identity,True
8123/broad-stop/actual_attempts,True
8123/broad-stop/charged_time,True
8123/broad-stop/actual_failures,True
8123/broad-stop/online_checks,True
8123/broad-stop/refit_succeeded,True
8123/broad-stop/separate_refit_charge,True
8123/broad-stop/final_row_ids,True
8123/broad-stop/final_targets,True
8123/broad-stop/finite_predictions,True
8123/broad-stop/final_metric,True
8123/broad-stop/normalized_loss,True
8123/broad-stop/separate_utility,True
8123/broad/same_public_data,True
8123/broad/final_absent_from_rollout,True
8123/broad/disjoint_rows,True
8123/broad/fixed_sizes,True
8123/broad/tree_identity,True
8123/broad/selected_by_selection,True
8123/broad/candidate_identity,True
8123/broad/actual_attempts,True
