board,player,action,value
...X..XOO,X,1,0.2
...X..XOO,X,4,0.27040000000000003
...X.O...,X,6,0.488
...X.O...,X,8,0.2
...X.O..X,O,4,0.0
...X.O..X,O,6,-0.2
...X.O.X.,O,2,0.5904
...X.OO.X,X,0,-0.03999999999999998
...X.OO.X,X,1,0.0
...X.OX..,O,1,-0.2
...X.OX..,O,2,-0.2
...X.OX..,O,4,-0.2
...X.OX..,O,7,0.0
...X.OX..,O,8,-0.03999999999999998
...X.OX.O,X,0,0.488
...X.OX.O,X,1,-0.03999999999999998
...X.OX.O,X,2,-0.1296
...X.OX.O,X,4,-0.2
...X.OX.O,X,7,-0.2
...X.OXO.,X,1,0.0
...X.OXXO,O,2,0.2
...X.X..O,O,1,0.2
...X.X..O,O,2,-0.2
...X.X..O,O,4,-0.03999999999999998
...X.X..O,O,6,-0.2
...X.X..O,O,7,-0.2
...X.X.O.,O,1,0.67232
...X.X.OO,X,0,0.2
...X.XO..,O,0,-0.36000000000000004
...X.XO..,O,1,-0.03999999999999998
...X.XO..,O,4,0.49714227200000005
...X.XO..,O,7,-0.2
...X.XO..,O,8,-0.2
...X.XO.O,X,2,0.36000000000000004
...X.XOO.,X,1,0.2
...X.XXOO,O,4,0.2
...XO....,X,0,0.2
...XO....,X,5,0.2
...XO....,X,8,0.2
...XO...X,O,0,-0.271616
...XO...X,O,2,-0.2
...XO...X,O,5,0.0
...XO...X,O,6,0.21305600000000002
...XO...X,O,7,0.5830272
...XO..OX,X,0,-0.36000000000000004
...XO..OX,X,1,-0.03199999999999999
...XO..OX,X,2,-0.2
...XO..OX,X,5,-0.2
...XO..OX,X,6,-0.2
...XO..X.,O,6,0.36000000000000004
...XO..X.,O,8,-0.2
...XO..XO,X,0,0.2
...XO.O.X,X,0,-0.2
...XO.O.X,X,1,-0.2
...XO.O.X,X,2,0.16800000000000004
...XO.O.X,X,5,-0.03999999999999998
...XO.O.X,X,7,-0.2
...XO.OX.,X,1,-0.2
...XO.OX.,X,2,-0.2
...XO.OX.,X,5,-0.36000000000000004
...XO.OX.,X,8,-0.2
...XO.OXX,O,2,0.488
...XO.OXX,O,5,0.2
...XO.X..,O,0,0.38949120000000004
...XO.X..,O,1,-0.36000000000000004
...XO.X..,O,2,-0.36000000000000004
...XO.X..,O,5,-0.488
...XO.X..,O,7,-0.328
...XO.X..,O,8,-0.2
...XO.X.O,X,0,0.488
...XO.XO.,X,1,0.54432
...XO.XO.,X,2,-0.03999999999999998
...XO.XO.,X,5,0.0
...XO.XO.,X,8,-0.2
...XO.XOX,O,0,0.2
...XO.XOX,O,1,0.488
...XO.XOX,O,2,0.2
...XO.XXO,O,2,-0.2
...XOO..X,X,2,0.0
...XOO..X,X,6,0.0
...XOOOXX,X,0,-0.2
...XOOOXX,X,1,0.0
...XOOOXX,X,2,0.0
...XOOX..,X,0,0.5904
...XOOX.X,O,7,0.0
...XOOXOX,X,1,0.0
...XOX...,O,1,-0.2
...XOX...,O,2,0.0
...XOX..O,X,0,0.2
...XOX..O,X,7,-0.2
...XOX.OX,O,0,0.0
...XOX.OX,O,1,0.2
...XOX.XO,O,0,0.2
...XOXO..,X,0,-0.2
...XOXO..,X,1,-0.2
